1
100001 199996
100001 1 1
100001 2 2
100001 3 3
100001 4 4
100001 5 5
100001 6 6
100001 7 7
100001 8 8
100001 9 9
100001 10 10
100001 11 11
100001 12 12
100001 13 13
100001 14 14
100001 15 15
100001 16 16
100001 17 17
100001 18 18
100001 19 19
100001 20 20
100001 21 21
100001 22 22
100001 23 23
100001 24 24
100001 25 25
100001 26 26
100001 27 27
100001 28 28
100001 29 29
100001 30 30
100001 31 31
100001 32 32
100001 33 33
100001 34 34
100001 35 35
100001 36 36
100001 37 37
100001 38 38
100001 39 39
100001 40 40
100001 41 41
100001 42 42
100001 43 43
100001 44 44
100001 45 45
100001 46 46
100001 47 47
100001 48 48
100001 49 49
100001 50 50
100001 51 51
100001 52 52
100001 53 53
100001 54 54
100001 55 55
100001 56 56
100001 57 57
100001 58 58
100001 59 59
100001 60 60
100001 61 61
100001 62 62
100001 63 63
100001 64 64
100001 65 65
100001 66 66
100001 67 67
100001 68 68
100001 69 69
100001 70 70
100001 71 71
100001 72 72
100001 73 73
100001 74 74
100001 75 75
100001 76 76
100001 77 77
100001 78 78
100001 79 79
100001 80 80
100001 81 81
100001 82 82
100001 83 83
100001 84 84
100001 85 85
100001 86 86
100001 87 87
100001 88 88
100001 89 89
100001 90 90
100001 91 91
100001 92 92
100001 93 93
100001 94 94
100001 95 95
100001 96 96
100001 97 97
100001 98 98
100001 99 99
100001 100 100
100001 101 101
100001 102 102
100001 103 103
100001 104 104
100001 105 105
100001 106 106
100001 107 107
100001 108 108
100001 109 109
100001 110 110
100001 111 111
100001 112 112
100001 113 113
100001 114 114
100001 115 115
100001 116 116
100001 117 117
100001 118 118
100001 119 119
100001 120 120
100001 121 121
100001 122 122
100001 123 123
100001 124 124
100001 125 125
100001 126 126
100001 127 127
100001 128 128
100001 129 129
100001 130 130
100001 131 131
100001 132 132
100001 133 133
100001 134 134
100001 135 135
100001 136 136
100001 137 137
100001 138 138
100001 139 139
100001 140 140
100001 141 141
100001 142 142
100001 143 143
100001 144 144
100001 145 145
100001 146 146
100001 147 147
100001 148 148
100001 149 149
100001 150 150
100001 151 151
100001 152 152
100001 153 153
100001 154 154
100001 155 155
100001 156 156
100001 157 157
100001 158 158
100001 159 159
100001 160 160
100001 161 161
100001 162 162
100001 163 163
100001 164 164
100001 165 165
100001 166 166
100001 167 167
100001 168 168
100001 169 169
100001 170 170
100001 171 171
100001 172 172
100001 173 173
100001 174 174
100001 175 175
100001 176 176
100001 177 177
100001 178 178
100001 179 179
100001 180 180
100001 181 181
100001 182 182
100001 183 183
100001 184 184
100001 185 185
100001 186 186
100001 187 187
100001 188 188
100001 189 189
100001 190 190
100001 191 191
100001 192 192
100001 193 193
100001 194 194
100001 195 195
100001 196 196
100001 197 197
100001 198 198
100001 199 199
100001 200 200
100001 201 201
100001 202 202
100001 203 203
100001 204 204
100001 205 205
100001 206 206
100001 207 207
100001 208 208
100001 209 209
100001 210 210
100001 211 211
100001 212 212
100001 213 213
100001 214 214
100001 215 215
100001 216 216
100001 217 217
100001 218 218
100001 219 219
100001 220 220
100001 221 221
100001 222 222
100001 223 223
100001 224 224
100001 225 225
100001 226 226
100001 227 227
100001 228 228
100001 229 229
100001 230 230
100001 231 231
100001 232 232
100001 233 233
100001 234 234
100001 235 235
100001 236 236
100001 237 237
100001 238 238
100001 239 239
100001 240 240
100001 241 241
100001 242 242
100001 243 243
100001 244 244
100001 245 245
100001 246 246
100001 247 247
100001 248 248
100001 249 249
100001 250 250
100001 251 251
100001 252 252
100001 253 253
100001 254 254
100001 255 255
100001 256 256
100001 257 257
100001 258 258
100001 259 259
100001 260 260
100001 261 261
100001 262 262
100001 263 263
100001 264 264
100001 265 265
100001 266 266
100001 267 267
100001 268 268
100001 269 269
100001 270 270
100001 271 271
100001 272 272
100001 273 273
100001 274 274
100001 275 275
100001 276 276
100001 277 277
100001 278 278
100001 279 279
100001 280 280
100001 281 281
100001 282 282
100001 283 283
100001 284 284
100001 285 285
100001 286 286
100001 287 287
100001 288 288
100001 289 289
100001 290 290
100001 291 291
100001 292 292
100001 293 293
100001 294 294
100001 295 295
100001 296 296
100001 297 297
100001 298 298
100001 299 299
100001 300 300
100001 301 301
100001 302 302
100001 303 303
100001 304 304
100001 305 305
100001 306 306
100001 307 307
100001 308 308
100001 309 309
100001 310 310
100001 311 311
100001 312 312
100001 313 313
100001 314 314
100001 315 315
100001 316 316
100001 317 317
100001 318 318
100001 319 319
100001 320 320
100001 321 321
100001 322 322
100001 323 323
100001 324 324
100001 325 325
100001 326 326
100001 327 327
100001 328 328
100001 329 329
100001 330 330
100001 331 331
100001 332 332
100001 333 333
100001 334 334
100001 335 335
100001 336 336
100001 337 337
100001 338 338
100001 339 339
100001 340 340
100001 341 341
100001 342 342
100001 343 343
100001 344 344
100001 345 345
100001 346 346
100001 347 347
100001 348 348
100001 349 349
100001 350 350
100001 351 351
100001 352 352
100001 353 353
100001 354 354
100001 355 355
100001 356 356
100001 357 357
100001 358 358
100001 359 359
100001 360 360
100001 361 361
100001 362 362
100001 363 363
100001 364 364
100001 365 365
100001 366 366
100001 367 367
100001 368 368
100001 369 369
100001 370 370
100001 371 371
100001 372 372
100001 373 373
100001 374 374
100001 375 375
100001 376 376
100001 377 377
100001 378 378
100001 379 379
100001 380 380
100001 381 381
100001 382 382
100001 383 383
100001 384 384
100001 385 385
100001 386 386
100001 387 387
100001 388 388
100001 389 389
100001 390 390
100001 391 391
100001 392 392
100001 393 393
100001 394 394
100001 395 395
100001 396 396
100001 397 397
100001 398 398
100001 399 399
100001 400 400
100001 401 401
100001 402 402
100001 403 403
100001 404 404
100001 405 405
100001 406 406
100001 407 407
100001 408 408
100001 409 409
100001 410 410
100001 411 411
100001 412 412
100001 413 413
100001 414 414
100001 415 415
100001 416 416
100001 417 417
100001 418 418
100001 419 419
100001 420 420
100001 421 421
100001 422 422
100001 423 423
100001 424 424
100001 425 425
100001 426 426
100001 427 427
100001 428 428
100001 429 429
100001 430 430
100001 431 431
100001 432 432
100001 433 433
100001 434 434
100001 435 435
100001 436 436
100001 437 437
100001 438 438
100001 439 439
100001 440 440
100001 441 441
100001 442 442
100001 443 443
100001 444 444
100001 445 445
100001 446 446
100001 447 447
